ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Mileage,Seating Capacity,City
Diesel,SUV,120000,Automatic,2,Hyundai,Hyundai Santa Fe,2012,900000.0,11.72,7.0,Bangalore
Petrol,Sedan,4000,Automatic,1,BMW,BMW 6 Series,2022,7900000.0,13.32,4.0,Bangalore
Petrol,Hatchback,32184,Automatic,2,Maruti,Maruti Baleno,2019,843000.0,21.4,5.0,Bangalore
Petrol,Hatchback,32279,Manual,1,Maruti,Maruti Baleno RS,2018,799000.0,21.1,5.0,Bangalore
Petrol,Hatchback,59698,Manual,1,Hyundai,Hyundai i20,2015,576000.0,18.6,5.0,Bangalore
Diesel,SUV,46071,Manual,1,Renault,Renault Captur,2018,949000.0,20.37,5.0,Bangalore
Diesel,SUV,90000,Manual,1,Maruti,Maruti Vitara Brezza,2017,795000.0,24.3,5.0,Bangalore
Petrol,SUV,9554,Manual,1,Hyundai,Hyundai Venue,2019,1085000.0,18.27,5.0,Bangalore
Petrol,SUV,14000,Automatic,1,Jeep,Jeep Compass,2022,2590000.0,14.1,5.0,Bangalore
Diesel,SUV,74499,Manual,2,Renault,Renault Duster,2013,516000.0,20.45,5.0,Bangalore
Petrol,SUV,56211,Automatic,2,Ford,Ford Ecosport,2017,777000.0,14.8,5.0,Bangalore
Petrol,Hatchback,9001,Manual,1,Honda,Honda Jazz,2019,753000.0,18.2,5.0,Bangalore
Diesel,SUV,65457,Automatic,2,Mahindra,Mahindra XUV500,2017,1226000.0,16.0,7.0,Bangalore
Petrol,Hatchback,23682,Manual,1,Honda,Honda Jazz,2017,725000.0,18.7,5.0,Bangalore
Diesel,Sedan,50000,Manual,1,Hyundai,Hyundai Verna,2020,1150000.0,22.0,5.0,Bangalore
Diesel,Hatchback,134557,Manual,2,Maruti,Maruti Swift,2015,629000.0,25.2,5.0,Bangalore
Petrol,Sedan,96567,Manual,2,Maruti,Maruti Swift Dzire,2013,447000.0,22.41,5.0,Bangalore
Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,400000.0,23.1,5.0,Bangalore
Diesel,MUV,83007,Manual,2,Maruti,Maruti Ertiga,2014,786000.0,20.77,7.0,Bangalore
Petrol,Hatchback,34000,Manual,1,Honda,Honda Jazz,2018,745000.0,18.7,5.0,Bangalore
Petrol,Hatchback,81634,Automatic,1,Hyundai,Hyundai Grand i10,2014,490000.00000000006,18.9,5.0,Bangalore
Petrol,Sedan,57284,Automatic,2,Honda,Honda City,2017,942000.0,18.0,5.0,Bangalore
Petrol,SUV,70000,Automatic,2,Ford,Ford Ecosport,2016,675000.0,15.63,5.0,Bangalore
Petrol,Hatchback,70000,Manual,2,Honda,Honda Brio,2013,330000.0,19.4,5.0,Bangalore
Petrol,Sedan,46429,Automatic,2,Toyota,Toyota Yaris,2018,875000.0,17.8,5.0,Bangalore
Petrol,Hatchback,17624,Manual,1,Maruti,Maruti Baleno,2017,869000.0,21.4,5.0,Bangalore
Diesel,Sedan,100000,Manual,2,Volkswagen,Volkswagen Vento,2012,425000.0,20.54,5.0,Bangalore
Petrol,Sedan,30000,Manual,1,Honda,Honda City,2019,1070000.0,17.4,5.0,Bangalore
Petrol,SUV,49690,Manual,2,Ford,Ford Ecosport,2018,1025000.0,15.9,5.0,Bangalore
Diesel,SUV,110000,Manual,1,Mahindra,Mahindra XUV500,2016,1000000.0,16.0,7.0,Bangalore
Petrol,Sedan,50000,Manual,1,Fiat,Fiat Linea,2009,375000.0,16.0,5.0,Bangalore
Petrol,Sedan,50000,Manual,1,Fiat,Fiat Linea,2009,375000.0,16.0,5.0,Bangalore
Petrol,SUV,55702,Automatic,1,Ford,Ford Ecosport,2018,844000.0,14.8,5.0,Bangalore
Diesel,Hatchback,45046,Manual,1,Hyundai,Hyundai i20 Active,2016,764000.0,21.19,5.0,Bangalore
Petrol,Hatchback,53000,Manual,2,Maruti,Maruti Ritz,2014,420000.0,18.5,5.0,Bangalore
Diesel,Hatchback,94695,Manual,1,Maruti,Maruti Baleno,2016,684000.0,27.39,5.0,Bangalore
Petrol,Hatchback,22162,Manual,1,Maruti,Maruti Baleno,2019,802999.9999999999,21.4,5.0,Bangalore
Petrol,Hatchback,70000,Manual,2,Hyundai,Hyundai Santro Xing,2010,320000.0,17.92,5.0,Bangalore
Diesel,Sedan,115331,Manual,1,Honda,Honda City,2017,803999.9999999999,26.0,5.0,Bangalore
Diesel,Sedan,70000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,1400000.0,10.0,5.0,Bangalore
Petrol,Hatchback,42233,Manual,2,Maruti,Maruti Swift,2016,548000.0,22.38,5.0,Bangalore
Petrol,Hatchback,20941,Manual,1,Hyundai,Hyundai Grand i10,2019,619000.0,18.9,5.0,Bangalore
Diesel,SUV,50000,Manual,2,Maruti,Maruti Vitara Brezza,2018,1000000.0,24.3,5.0,Bangalore
Petrol,SUV,46602,Manual,1,Honda,Honda WR-V,2018,865000.0,17.5,5.0,Bangalore
Diesel,SUV,50000,Automatic,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,1000000.0,11.18,7.0,Bangalore
Diesel,Hatchback,104000,Manual,2,Maruti,Maruti Swift,2014,535000.0,25.2,5.0,Bangalore
Diesel,SUV,90000,Manual,1,Ford,Ford Ecosport,2018,975000.0,23.0,5.0,Bangalore
Petrol,Hatchback,50035,Manual,1,Maruti,Maruti Baleno,2017,699000.0,21.4,5.0,Bangalore
Petrol,SUV,80000,Manual,1,Tata,Tata Nexon,2021,1150000.0,17.57,5.0,Bangalore
Petrol,Hatchback,90000,Manual,2,Hyundai,Hyundai i20,2015,625000.0,18.6,5.0,Bangalore
Diesel,Sedan,90000,Automatic,4,Mercedes-Benz,Mercedes-Benz E-Class,2011,1000000.0,14.21,5.0,Bangalore
Diesel,Sedan,120000,Manual,1,Toyota,Toyota Corolla Altis,2011,600000.0,21.43,5.0,Bangalore
Petrol,Sedan,25170,Manual,1,Maruti,Maruti Swift Dzire,2015,675000.0,22.41,5.0,Bangalore
Petrol,Sedan,25022,Manual,1,Maruti,Maruti Ciaz,2021,893000.0,20.65,5.0,Bangalore
Diesel,Hatchback,100000,Manual,2,Maruti,Maruti Swift,2012,420000.0,22.9,5.0,Bangalore
Petrol,Sedan,26367,Manual,1,Maruti,Maruti Ciaz,2020,941000.0,20.65,5.0,Bangalore
Petrol,Sedan,76567,Automatic,2,Hyundai,Hyundai Elantra,2015,630000.0,14.5,5.0,Bangalore
Diesel,MUV,120000,Manual,2,Toyota,Toyota Innova,2013,1275000.0,12.99,7.0,Bangalore
Petrol,Hatchback,36459,Automatic,2,Hyundai,Hyundai Grand i10,2015,525000.0,18.9,5.0,Bangalore
Diesel,SUV,93725,Manual,1,Maruti,Maruti SX4 S Cross,2016,750000.0,23.65,5.0,Bangalore
Petrol,Sedan,115599,Automatic,2,Maruti,Maruti Ciaz,2016,632000.0,19.12,5.0,Bangalore
Petrol,Sedan,43469,Manual,1,Maruti,Maruti Swift Dzire,2015,645000.0,22.41,5.0,Bangalore
Petrol,Sedan,70000,Manual,4,Ford,Ford Ikon,2005,500000.0,13.8,5.0,Bangalore
Diesel,SUV,77000,Automatic,2,BMW,BMW X5,2019,6795000.0,13.38,5.0,Bangalore
Diesel,SUV,100000,Manual,1,Maruti,Maruti Vitara Brezza,2018,850000.0,24.3,5.0,Bangalore
Petrol,Sedan,72000,Manual,1,Mitsubishi,Mitsubishi Cedia,2008,299000.0,14.7,5.0,Bangalore
Diesel,Sedan,77000,Automatic,1,Jaguar,Jaguar XF,2013,2095000.0,16.36,5.0,Bangalore
Diesel,SUV,87101,Automatic,1,Audi,Audi Q7,2013,2800000.0,12.07,7.0,Bangalore
Petrol,Hatchback,40771,Manual,2,Volkswagen,Volkswagen Polo,2021,999000.0,18.24,5.0,Bangalore
Petrol,Hatchback,28000,Manual,1,Honda,Honda Jazz,2018,825000.0,18.7,5.0,Bangalore
Petrol,Hatchback,40000,Manual,3,Maruti,Maruti Wagon R,2008,250000.0,18.9,5.0,Bangalore
Petrol,SUV,26000,Automatic,1,Hyundai,Hyundai Venue,2020,1295000.0,18.15,5.0,Bangalore
Petrol,Hatchback,76032,Manual,1,Maruti,Maruti Wagon R,2012,329000.0,18.9,5.0,Bangalore
Petrol,Sedan,113780,Manual,1,Maruti,Maruti Ciaz,2018,666000.0,21.56,5.0,Bangalore
Diesel,Sedan,24000,Automatic,1,Audi,Audi A3,2019,2290000.0,20.38,5.0,Bangalore
Diesel,SUV,65812,Manual,2,Hyundai,Hyundai Venue,2020,1026000.0,23.7,5.0,Bangalore
Petrol,SUV,10000,Automatic,1,Skoda,Skoda Kushaq,2022,1700000.0,17.2,5.0,Bangalore
Petrol,Hatchback,39959,Manual,1,Maruti,Maruti Baleno,2016,681000.0,21.4,5.0,Bangalore
